"id","device_id","fix","hdop","latitude","longitude","velocity","heart_rate","acc_x","acc_y","acc_z","quat_w","quat_x","quat_y","quat_z","device_date","db_date"
40488,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:02.799+00","2021-06-02 12:56:26.672679+00"
40487,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:01.799+00","2021-06-02 12:56:25.707521+00"
40486,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:00.799+00","2021-06-02 12:56:24.726829+00"
40485,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:59.799+00","2021-06-02 12:56:23.430115+00"
40484,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:58.799+00","2021-06-02 12:56:22.500157+00"
40483,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:57.799+00","2021-06-02 12:56:21.206809+00"
40482,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:56.799+00","2021-06-02 12:56:20.247323+00"
40481,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:55.799+00","2021-06-02 12:56:19.299278+00"
40480,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:54.799+00","2021-06-02 12:56:18.029106+00"
40479,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:53.799+00","2021-06-02 12:56:17.034188+00"
40478,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:52.799+00","2021-06-02 12:56:15.740951+00"
40477,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:49.799+00","2021-06-02 12:56:13.888688+00"
40476,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:48.799+00","2021-06-02 12:56:12.575126+00"
40475,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:47.799+00","2021-06-02 12:56:11.634468+00"
40474,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:46.799+00","2021-06-02 12:56:10.348991+00"
40473,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:45.799+00","2021-06-02 12:56:09.342995+00"
40472,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:44.799+00","2021-06-02 12:56:08.417023+00"
40471,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:43.799+00","2021-06-02 12:56:07.151215+00"
40470,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:42.799+00","2021-06-02 12:56:06.216761+00"
40469,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:41.799+00","2021-06-02 12:56:04.876211+00"
40468,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:40.799+00","2021-06-02 12:56:03.973975+00"
40467,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:39.799+00","2021-06-02 12:56:02.961347+00"
40466,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:37.799+00","2021-06-02 12:56:01.682469+00"
40465,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:36.799+00","2021-06-02 12:56:00.736544+00"
40464,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:35.799+00","2021-06-02 12:55:59.772368+00"
40463,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:34.799+00","2021-06-02 12:55:58.529751+00"
40462,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:33.799+00","2021-06-02 12:55:57.557393+00"
40461,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:32.799+00","2021-06-02 12:55:56.28526+00"
40460,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:31.799+00","2021-06-02 12:55:55.402104+00"
40459,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:29.799+00","2021-06-02 12:55:53.058438+00"
40458,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:28.799+00","2021-06-02 12:55:52.270417+00"
40457,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:26.799+00","2021-06-02 12:55:51.902914+00"
40456,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:24.799+00","2021-06-02 12:55:49.694593+00"
40455,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:24.799+00","2021-06-02 12:55:49.684147+00"
40454,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:22.799+00","2021-06-02 12:55:46.665834+00"
40453,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:21.799+00","2021-06-02 12:55:45.364271+00"
40452,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:20.799+00","2021-06-02 12:55:44.397464+00"
40451,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:19.799+00","2021-06-02 12:55:43.485188+00"
40450,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:18.799+00","2021-06-02 12:55:42.186481+00"
40449,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:17.799+00","2021-06-02 12:55:41.208588+00"
40448,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:16.799+00","2021-06-02 12:55:39.918448+00"
40447,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:15.799+00","2021-06-02 12:55:39.004403+00"
40446,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:14.799+00","2021-06-02 12:55:38.051567+00"
40445,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:13.799+00","2021-06-02 12:55:36.704528+00"
40444,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:12.799+00","2021-06-02 12:55:35.791083+00"
40443,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:11.799+00","2021-06-02 12:55:34.514195+00"
40442,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:08.799+00","2021-06-02 12:55:32.604459+00"
40441,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:07.799+00","2021-06-02 12:55:31.301069+00"
40440,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:06.799+00","2021-06-02 12:55:30.364132+00"
40439,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:05.799+00","2021-06-02 12:55:29.181692+00"
